,model,dataset,fold,default_config,tuned_config
126,CatBoost,GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,0,CatBoost_c1_BAG_L1,CatBoost_r19_BAG_L1
127,LightGBM,GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,0,LightGBM_c1_BAG_L1,LightGBM_r16_BAG_L1
128,LinearModel,GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,0,LinearModel_c1_BAG_L1,LinearModel_r29_BAG_L1
129,NeuralNetTorch,GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,0,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r103_BAG_L1
130,RandomForest,GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,0,RandomForest_c1_BAG_L1,RandomForest_r17_BAG_L1
131,XGBoost,GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,0,XGBoost_c1_BAG_L1,XGBoost_r55_BAG_L1
132,NeuralNetFastAI,GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,0,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r102_BAG_L1
133,CatBoost,GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,1,CatBoost_c1_BAG_L1,CatBoost_r11_BAG_L1
134,LightGBM,GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,1,LightGBM_c1_BAG_L1,LightGBM_r1_BAG_L1
135,LinearModel,GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,1,LinearModel_c1_BAG_L1,LinearModel_r2_BAG_L1
136,NeuralNetTorch,GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,1,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r57_BAG_L1
137,RandomForest,GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,1,RandomForest_c1_BAG_L1,RandomForest_r143_BAG_L1
138,XGBoost,GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,1,XGBoost_c1_BAG_L1,XGBoost_r196_BAG_L1
139,NeuralNetFastAI,GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,1,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r58_BAG_L1
140,CatBoost,GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,2,CatBoost_c1_BAG_L1,CatBoost_r38_BAG_L1
141,LightGBM,GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,2,LightGBM_c1_BAG_L1,LightGBM_r121_BAG_L1
142,LinearModel,GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,2,LinearModel_c1_BAG_L1,LinearModel_r7_BAG_L1
143,NeuralNetTorch,GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,2,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r158_BAG_L1
144,RandomForest,GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,2,RandomForest_c1_BAG_L1,RandomForest_r133_BAG_L1
145,XGBoost,GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,2,XGBoost_c1_BAG_L1,XGBoost_r55_BAG_L1
146,NeuralNetFastAI,GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,2,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r143_BAG_L1
147,CatBoost,GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,0,CatBoost_c1_BAG_L1,CatBoost_r32_BAG_L1
148,LightGBM,GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,0,LightGBM_c1_BAG_L1,LightGBM_r109_BAG_L1
149,LinearModel,GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,0,LinearModel_c1_BAG_L1,LinearModel_r47_BAG_L1
150,NeuralNetTorch,GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,0,NeuralNetTorch_c1_BAG_L1,NeuralNetTorch_r150_BAG_L1
151,RandomForest,GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,0,RandomForest_c1_BAG_L1,RandomForest_r163_BAG_L1
152,XGBoost,GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,0,XGBoost_c1_BAG_L1,XGBoost_r149_BAG_L1
153,NeuralNetFastAI,GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,0,NeuralNetFastAI_c1_BAG_L1,NeuralNetFastAI_r58_BAG_L1
154,CatBoost,GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,1,CatBoost_c1_BAG_L1,CatBoost_r167_BAG_L1
155,LightGBM,GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,1,LightGBM_c1_BAG_L1,LightGBM_r97_BAG_L1
156,LinearModel,GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,1,LinearModel_c1_BAG_L1,LinearModel_r31_BAG_L1
